Continente y país de destino;Continente y país de destino;Continente y país de destino;Continente y país de destino;Concepto turístico;Periodo;Total
Total;Europa;Albania;;Turistas;2020M11;151
Total;Europa;Albania;;Turistas;2020M10;143
Total;Europa;Albania;;Turistas;2020M09;198
Total;Europa;Albania;;Turistas;2020M08;267
Total;Europa;Albania;;Turistas;2020M07;130
Total;Europa;Albania;;Turistas;2020M06;36
Total;Europa;Albania;;Turistas;2020M05;.
Total;Europa;Albania;;Turistas;2020M04;.
Total;Europa;Albania;;Turistas;2020M03;128
Total;Europa;Albania;;Turistas;2020M02;198
Total;Europa;Albania;;Turistas;2020M01;252
Total;Europa;Albania;;Turistas;2019M12;170
Total;Europa;Albania;;Turistas;2019M11;233
Total;Europa;Albania;;Turistas;2019M10;495
Total;Europa;Albania;;Turistas;2019M09;917
Total;Europa;Albania;;Turistas;2019M08;1.604
Total;Europa;Albania;;Turistas;2019M07;732
Total;Europa;Albania;;Pernoctaciones;2023M04;8.215
Total;Europa;Albania;;Pernoctaciones;2023M03;3.288
Total;Europa;Albania;;Pernoctaciones;2023M02;2.462
Total;Europa;Albania;;Pernoctaciones;2023M01;5.637
Total;Europa;Albania;;Pernoctaciones;2022M12;3.379
Total;Europa;Albania;;Pernoctaciones;2022M11;3.055
Total;Europa;Albania;;Pernoctaciones;2022M10;5.217
Total;Europa;Albania;;Pernoctaciones;2022M09;18.495
Total;Europa;Albania;;Pernoctaciones;2022M08;28.224
Total;Europa;Albania;;Pernoctaciones;2022M07;15.301
Total;Europa;Albania;;Pernoctaciones;2022M06;7.172
Total;Europa;Albania;;Pernoctaciones;2022M05;3.889
Total;Europa;Albania;;Pernoctaciones;2022M04;4.329
Total;Europa;Albania;;Pernoctaciones;2022M03;2.547
Total;Europa;Albania;;Pernoctaciones;2022M02;1.979
Total;Europa;Albania;;Pernoctaciones;2022M01;3.738
Total;Europa;Albania;;Pernoctaciones;2021M12;2.218
Total;Europa;Albania;;Pernoctaciones;2021M11;1.944
Total;Europa;Albania;;Pernoctaciones;2021M10;3.679
Total;Europa;Albania;;Pernoctaciones;2021M09;5.968
Total;Europa;Albania;;Pernoctaciones;2021M08;11.266
Total;Europa;Albania;;Pernoctaciones;2021M07;4.206
Total;Europa;Albania;;Pernoctaciones;2021M06;1.605
Total;Europa;Albania;;Pernoctaciones;2021M05;1.456
Total;Europa;Albania;;Pernoctaciones;2021M04;843
Total;Europa;Albania;;Pernoctaciones;2021M03;923
Total;Europa;Albania;;Pernoctaciones;2021M02;831
Total;Europa;Albania;;Pernoctaciones;2021M01;1.072
Total;Europa;Albania;;Pernoctaciones;2020M12;804
Total;Europa;Albania;;Pernoctaciones;2020M11;654
Total;Europa;Albania;;Pernoctaciones;2020M10;964
Total;Europa;Albania;;Pernoctaciones;2020M09;1.509
Total;Europa;Albania;;Pernoctaciones;2020M08;2.885
Total;Europa;Albania;;Pernoctaciones;2020M07;911
Total;Europa;Albania;;Pernoctaciones;2020M06;174
Total;Europa;Albania;;Pernoctaciones;2020M05;.
Total;Europa;Albania;;Pernoctaciones;2020M04;.
Total;Europa;Albania;;Pernoctaciones;2020M03;710
Total;Europa;Albania;;Pernoctaciones;2020M02;1.002
Total;Europa;Albania;;Pernoctaciones;2020M01;2.016
Total;Europa;Albania;;Pernoctaciones;2019M12;842
Total;Europa;Albania;;Pernoctaciones;2019M11;1.225
Total;Europa;Albania;;Pernoctaciones;2019M10;3.458
Total;Europa;Albania;;Pernoctaciones;2019M09;8.088
Total;Europa;Albania;;Pernoctaciones;2019M08;18.537
Total;Europa;Albania;;Pernoctaciones;2019M07;6.156
Total;Europa;Albania;;Duración media de los viajes;2023M04;5,1
Total;Europa;Albania;;Duración media de los viajes;2023M03;4,3
Total;Europa;Albania;;Duración media de los viajes;2023M02;4
Total;Europa;Albania;;Duración media de los viajes;2023M01;7,5
Total;Europa;Albania;;Duración media de los viajes;2022M12;3,9
Total;Europa;Albania;;Duración media de los viajes;2022M11;4,6
Total;Europa;Albania;;Duración media de los viajes;2022M10;5,8
Total;Europa;Albania;;Duración media de los viajes;2022M09;7,7
Total;Europa;Albania;;Duración media de los viajes;2022M08;8,3
Total;Europa;Albania;;Duración media de los viajes;2022M07;6,7
Total;Europa;Albania;;Duración media de los viajes;2022M06;5,4
Total;Europa;Albania;;Duración media de los viajes;2022M05;4,3
Total;Europa;Albania;;Duración media de los viajes;2022M04;5
Total;Europa;Albania;;Duración media de los viajes;2022M03;4,5
Total;Europa;Albania;;Duración media de los viajes;2022M02;4,5
Total;Europa;Albania;;Duración media de los viajes;2022M01;7,6
Total;Europa;Albania;;Duración media de los viajes;2021M12;3,6
Total;Europa;Albania;;Duración media de los viajes;2021M11;4,5
Total;Europa;Albania;;Duración media de los viajes;2021M10;5,6
Total;Europa;Albania;;Duración media de los viajes;2021M09;7,6
Total;Europa;Albania;;Duración media de los viajes;2021M08;8,2
Total;Europa;Albania;;Duración media de los viajes;2021M07;6,6
Total;Europa;Albania;;Duración media de los viajes;2021M06;5,7
Total;Europa;Albania;;Duración media de los viajes;2021M05;6,4
Total;Europa;Albania;;Duración media de los viajes;2021M04;5,5
Total;Europa;Albania;;Duración media de los viajes;2021M03;6,7
Total;Europa;Albania;;Duración media de los viajes;2021M02;7
Total;Europa;Albania;;Duración media de los viajes;2021M01;5
Total;Europa;Albania;;Duración media de los viajes;2020M12;3,1
Total;Europa;Albania;;Duración media de los viajes;2020M11;4,3
Total;Europa;Albania;;Duración media de los viajes;2020M10;6,7
Total;Europa;Albania;;Duración media de los viajes;2020M09;7,6
